YEAR,KIND,HOME,AWAY,HOME_SCORE,AWAY_SCORE,HOME_RUSHING_YARDS,HOME_PASSING_YARDS,HOME_PENALTY_YARDS,HOME_TURNOVERS,AWAY_RUSHING_YARDS,AWAY_PASSING_YARDS,AWAY_PENALTY_YARDS,AWAY_TURNOVERS
2012,REG,NYG,DAL,17,24,82,187,33,1,143,290,86,1
2012,REG,CHI,IND,41,21,114,314,48,1,63,293,19,5
2012,REG,MIN,JAC,26,23,123,266,40,1,113,249,25,1
2012,REG,NYJ,BUF,48,28,118,266,34,1,195,195,34,4
2012,REG,HOU,MIA,30,10,83,254,35,0,79,196,78,4
2012,REG,TEN,NE,13,34,20,264,30,2,162,228,20,0
2012,REG,DET,STL,27,23,83,346,27,3,78,173,65,0
2012,REG,NO,WAS,32,40,32,326,107,3,153,311,127,0
2012,REG,CLE,PHI,16,17,99,111,35,4,150,306,110,5
2012,REG,KC,ATL,24,40,152,241,25,3,84,292,12,0
2012,REG,GB,SF,22,30,45,279,77,1,186,191,66,0
2012,REG,ARI,SEA,20,16,43,210,102,2,115,139,90,2
2012,REG,TB,CAR,16,10,130,128,35,0,10,291,65,2
2012,REG,DEN,PIT,31,19,94,240,49,1,75,209,52,1
2012,REG,BAL,CIN,44,13,122,308,50,0,129,193,41,2
2012,REG,OAK,SD,14,22,45,276,35,1,32,226,78,0
2012,REG,GB,CHI,23,10,106,215,54,2,94,74,65,4
2012,REG,NYG,TB,41,34,94,510,53,3,79,228,33,2
2012,REG,CAR,NO,35,27,219,244,34,1,163,323,23,2
2012,REG,NE,ARI,18,20,80,297,50,1,105,140,39,2
2012,REG,IND,MIN,23,20,84,194,51,0,95,232,105,1
2012,REG,PHI,BAL,24,23,129,357,58,4,111,214,45,2
2012,REG,BUF,KC,35,17,201,178,50,0,150,272,33,3
2012,REG,CIN,CLE,34,27,80,295,54,1,130,309,103,1
2012,REG,JAC,HOU,7,27,65,52,71,1,216,195,64,0
2012,REG,SEA,DAL,27,7,182,133,35,0,49,247,47,2
2012,REG,STL,WAS,31,28,151,301,60,3,176,197,96,1
2012,REG,PIT,NYJ,27,10,66,265,107,0,90,129,63,1
2012,REG,SD,TEN,38,10,148,268,41,1,38,174,59,1
2012,REG,MIA,OAK,35,13,259,189,21,0,23,373,42,1
2012,REG,SF,DET,27,19,148,201,62,1,82,214,67,1
2012,REG,ATL,DEN,27,21,67,208,72,0,118,218,96,4
2012,REG,CAR,NYG,7,36,60,267,22,5,125,280,38,0
2012,REG,DAL,TB,16,10,38,259,105,3,75,91,69,2
2012,REG,CHI,STL,23,6,103,171,45,1,59,101,40,2
2012,REG,MIN,SF,24,13,146,198,10,2,89,191,60,3
2012,REG,TEN,DET,44,41,59,378,32,2,141,442,91,1
2012,REG,WAS,CIN,31,38,213,168,55,1,93,385,80,2
2012,REG,NO,KC,24,27,83,205,45,1,273,237,40,3
2012,REG,MIA,NYJ,20,23,185,196,65,2,88,300,108,2
2012,REG,CLE,BUF,14,24,33,207,57,2,138,206,75,1
2012,REG,IND,JAC,17,22,124,313,106,1,185,148,67,0
2012,REG,ARI,PHI,27,6,99,193,60,0,126,182,65,3
2012,REG,SD,ATL,3,27,116,164,17,4,119,265,15,1
2012,REG,DEN,HOU,25,31,59,316,75,1,152,284,69,2
2012,REG,OAK,PIT,34,31,119,202,25,1,54,379,81,2
2012,REG,BAL,NE,31,30,121,382,135,1,77,319,83,0
2012,REG,SEA,GB,14,12,127,111,118,0,84,184,127,0
2012,REG,BAL,CLE,23,16,101,337,100,1,43,314,66,2
2012,REG,BUF,NE,28,52,98,340,17,6,247,333,10,2
2012,REG,HOU,TEN,38,14,95,202,3,0,158,167,73,3
2012,REG,KC,SD,20,37,119,234,80,6,104,189,75,1
2012,REG,DET,MIN,13,20,54,287,72,1,127,100,87,0
2012,REG,ATL,CAR,30,28,121,305,15,1,198,205,64,1
2012,REG,STL,SEA,19,13,75,211,37,1,179,140,55,3
2012,REG,NYJ,SF,0,34,45,100,30,4,245,134,67,0
2012,REG,ARI,MIA,24,21,28,269,62,2,86,394,40,4
2012,REG,DEN,OAK,37,6,165,338,30,1,56,181,41,0
2012,REG,JAC,CIN,10,27,69,143,37,2,138,244,50,2
2012,REG,GB,NO,28,27,102,319,43,2,45,429,72,0
2012,REG,TB,WAS,22,24,80,293,107,1,160,314,73,0
2012,REG,PHI,NYG,19,17,191,231,49,0,57,309,55,1
2012,REG,DAL,CHI,18,34,41,389,10,5,93,267,25,1
2012,REG,STL,ARI,17,3,111,131,60,1,45,237,35,1
2012,REG,WAS,ATL,17,24,129,187,20,2,83,338,13,2
2012,REG,PIT,PHI,16,14,136,207,106,0,78,168,35,2
2012,REG,IND,GB,30,27,119,345,100,1,141,215,89,1
2012,REG,NYG,CLE,41,27,243,259,25,2,84,291,91,3
2012,REG,MIN,TEN,30,7,175,258,60,2,52,215,75,2
2012,REG,CIN,MIA,13,17,80,218,46,3,68,211,10,2
2012,REG,KC,BAL,6,9,214,124,60,4,132,165,33,2
2012,REG,CAR,SEA,12,16,82,108,25,1,98,212,65,3
2012,REG,JAC,CHI,3,41,60,129,49,3,214,287,80,1
2012,REG,NE,DEN,31,21,251,193,59,1,70,332,21,3
2012,REG,SF,BUF,45,3,311,310,53,1,89,115,30,2
2012,REG,NO,SD,31,24,53,351,99,1,117,310,56,2
2012,REG,NYJ,HOU,17,23,69,217,25,2,169,209,50,1
2012,REG,TEN,PIT,26,23,94,265,45,1,56,356,50,1
2012,REG,ATL,OAK,23,20,45,241,25,3,149,325,110,3
2012,REG,TB,KC,38,10,145,318,33,2,80,180,55,2
2012,REG,NYJ,IND,35,9,252,99,110,0,41,257,27,4
2012,REG,CLE,CIN,34,24,111,218,35,1,76,362,50,4
2012,REG,PHI,DET,23,26,71,286,60,3,138,311,132,1
2012,REG,MIA,STL,17,14,19,173,40,0,162,300,101,1
2012,REG,BAL,DAL,31,29,86,230,76,0,227,254,82,1
2012,REG,ARI,BUF,16,19,182,150,67,2,165,141,34,2
2012,REG,SEA,NE,24,23,85,283,35,2,87,388,80,2
2012,REG,SF,NYG,3,26,80,234,35,3,149,193,20,0
2012,REG,WAS,MIN,38,26,183,178,66,1,94,327,29,3
2012,REG,HOU,GB,24,42,90,231,69,3,99,328,51,0
2012,REG,SD,DEN,24,35,90,218,64,6,57,309,81,3
2012,REG,SF,SEA,13,6,175,138,40,1,136,115,20,1
2012,REG,NYG,WAS,27,23,64,329,30,2,248,232,55,4
2012,REG,MIN,ARI,21,14,166,43,35,2,126,230,82,2
